2730 2730
4 1695 1.0
4 4 1.0
8 8 1.0
10 58 1.0
10 10 1.0
12 12 1.0
14 2557 1.0
14 14 1.0
15 1696 1.0
15 2697 2.0
15 2131 1.0
15 1775 1.0
15 15 2.0
19 2638 2.0
19 763 1.0
19 19 2.0
20 2129 1.0
20 360 1.0
20 20 3.0
21 2258 1.0
21 2163 1.0
21 45 1.0
21 21 1.0
23 1868 1.0
23 1726 1.0
23 1519 1.0
23 865 1.0
23 1850 1.0
23 1902 1.0
23 518 1.0
23 2632 1.0
23 1064 1.0
23 23 11.0
26 26 1.0
28 1903 1.0
28 564 1.0
28 28 2.0
29 1023 1.0
29 49 1.0
29 211 1.0
29 29 2.0
30 2582 2.0
30 2581 2.0
30 1896 2.0
30 30 2.0
32 32 1.0
33 2377 1.0
33 33 1.0
34 1176 1.0
34 34 1.0
37 2283 1.0
37 37 1.0
38 1096 1.0
38 2639 1.0
38 38 2.0
39 1799 1.0
39 1764 1.0
39 1309 1.0
39 420 1.0
39 1614 1.0
39 39 2.0
45 2725 1.0
45 2471 1.0
45 2258 1.0
45 2163 1.0
45 45 3.0
45 21 1.0
49 2405 2.0
49 2721 2.0
49 2591 1.0
49 810 1.0
49 98 1.0
49 121 1.0
49 1023 1.0
49 29 1.0
49 2361 1.0
49 1680 2.0
49 49 8.0
50 2379 1.0
50 2378 1.0
50 918 1.0
50 50 2.0
52 1953 1.0
52 52 2.0
54 2366 1.0
54 2019 1.0
54 54 1.0
55 2670 1.0
55 1564 1.0
55 55 1.0
57 57 1.0
58 10 1.0
58 2124 1.0
58 590 1.0
58 236 1.0
58 150 1.0
58 1442 1.0
58 1089 2.0
58 58 6.0
59 2495 2.0
59 59 5.0
60 2113 1.0
60 2012 1.0
60 424 1.0
60 2597 1.0
60 1322 1.0
60 1954 1.0
60 1718 1.0
60 60 5.0
62 2600 2.0
62 62 3.0
64 64 1.0
69 1038 1.0
69 2567 1.0
69 2566 1.0
69 1933 1.0
69 82 1.0
69 70 2.0
69 69 4.0
70 2320 1.0
70 1373 1.0
70 329 2.0
70 2308 2.0
70 86 1.0
70 2176 1.0
70 1171 1.0
70 2578 2.0
70 332 2.0
70 70 11.0
70 69 2.0
71 89 1.0
71 71 1.0
73 2637 2.0
73 2636 2.0
73 2002 2.0
73 73 2.0
74 344 2.0
74 150 2.0
74 74 5.0
79 2707 2.0
79 2670 1.0
79 79 2.0
80 80 1.0
82 2396 1.0
82 2065 1.0
82 159 1.0
82 2585 1.0
82 1705 1.0
82 1170 1.0
82 2567 1.0
82 2566 1.0
82 69 1.0
82 2560 2.0
82 2559 2.0
82 1426 1.0
82 2556 1.0
82 2554 1.0
82 2553 2.0
82 2531 1.0
82 2530 1.0
82 2525 1.0
82 2069 1.0
82 1933 2.0
82 329 1.0
82 2462 2.0
82 2040 3.0
82 82 12.0
83 2577 1.0
83 83 1.0
86 70 1.0
86 86 2.0
88 2585 1.0
88 2021 1.0
88 1705 1.0
88 2717 1.0
88 2208 1.0
88 2081 1.0
88 1699 1.0
88 797 1.0
88 88 3.0
89 89 1.0
89 71 1.0
91 91 1.0
96 2644 1.0
96 1726 1.0
96 2552 1.0
96 96 5.0
98 1178 1.0
98 810 1.0
98 49 1.0
98 2624 2.0
98 2623 2.0
98 281 2.0
98 2594 3.0
98 2593 2.0
98 2591 2.0
98 1687 2.0
98 2433 2.0
98 1382 1.0
98 100 1.0
98 98 9.0
99 1968 1.0
99 99 1.0
100 2124 1.0
100 1099 1.0
100 2433 1.0
100 1382 1.0
100 100 2.0
100 98 1.0
102 521 1.0
102 102 2.0
103 811 1.0
103 103 1.0
105 105 1.0
110 1082 1.0
110 419 1.0
110 2606 1.0
110 1955 1.0
110 110 2.0
113 2058 1.0
113 113 1.0
118 118 1.0
121 1680 1.0
121 121 1.0
121 49 1.0
122 122 1.0
137 2713 1.0
137 137 1.0
147 2514 1.0
147 1056 1.0
147 2615 2.0
147 2295 1.0
147 1906 1.0
147 1362 2.0
147 2325 1.0
147 1695 1.0
147 2044 3.0
147 147 7.0
150 2124 1.0
150 590 1.0
150 236 1.0
150 58 1.0
150 2683 1.0
150 344 2.0
