2232 2232
2 2115 1.0
2 2 2.0
3 2200 1.0
3 1099 1.0
3 2094 2.0
3 3 3.0
6 1668 1.0
6 1401 1.0
6 1188 1.0
6 6 1.0
12 1627 2.0
12 12 2.0
13 1439 1.0
13 2042 3.0
13 1924 2.0
13 13 3.0
15 1293 1.0
15 2225 1.0
15 1978 1.0
15 2126 1.0
15 764 1.0
15 206 2.0
15 2120 1.0
15 1701 1.0
15 1699 1.0
15 15 4.0
16 16 1.0
19 763 1.0
19 2125 1.0
19 2224 2.0
19 1692 2.0
19 19 4.0
20 2129 1.0
20 20 2.0
22 2131 1.0
22 2115 1.0
22 439 1.0
22 22 1.0
23 1793 1.0
23 421 1.0
23 1684 1.0
23 987 1.0
23 686 1.0
23 573 1.0
23 1902 2.0
23 518 1.0
23 1501 1.0
23 1500 1.0
23 1726 1.0
23 1382 1.0
23 100 1.0
23 98 1.0
23 23 12.0
26 1677 1.0
26 26 2.0
27 2091 1.0
27 27 1.0
28 1588 1.0
28 904 1.0
28 564 1.0
28 28 1.0
29 1023 1.0
29 49 1.0
29 29 1.0
32 32 1.0
34 418 1.0
34 34 1.0
38 38 2.0
41 701 1.0
41 41 1.0
42 1679 1.0
42 42 1.0
44 44 1.0
45 2163 2.0
45 45 2.0
47 47 1.0
49 1023 1.0
49 29 1.0
49 810 1.0
49 1678 1.0
49 710 1.0
49 49 5.0
50 1001 1.0
50 50 2.0
54 2106 1.0
54 1289 1.0
54 1586 1.0
54 541 2.0
54 98 1.0
54 54 6.0
57 57 3.0
58 1058 1.0
58 1443 2.0
58 1442 2.0
58 1089 2.0
58 2079 1.0
58 1385 1.0
58 58 5.0
60 1985 1.0
60 1701 1.0
60 374 1.0
60 1444 2.0
60 2114 2.0
60 2113 2.0
60 2012 1.0
60 60 3.0
62 1966 1.0
62 2006 1.0
62 62 2.0
64 2037 1.0
64 64 1.0
68 1947 1.0
68 1982 1.0
68 68 3.0
69 339 1.0
69 69 1.0
70 83 1.0
70 1334 1.0
70 70 2.0
71 1037 1.0
71 89 1.0
71 71 2.0
73 1417 1.0
73 73 1.0
74 1876 1.0
74 74 2.0
75 2191 1.0
75 1645 1.0
75 75 1.0
82 1426 1.0
82 1171 1.0
82 329 2.0
82 2144 1.0
82 1725 1.0
82 1081 1.0
82 1080 1.0
82 2065 2.0
82 2064 4.0
82 1933 3.0
82 1170 1.0
82 82 9.0
83 1321 1.0
83 774 1.0
83 2171 1.0
83 2170 1.0
83 83 3.0
83 70 1.0
86 2171 1.0
86 2170 1.0
86 86 2.0
88 2021 1.0
88 1035 1.0
88 2208 1.0
88 104 1.0
88 541 1.0
88 206 2.0
88 88 4.0
89 2050 1.0
89 955 1.0
89 1035 1.0
89 1037 1.0
89 89 3.0
89 71 1.0
92 92 1.0
96 2004 2.0
96 96 3.0
98 2095 1.0
98 1687 1.0
98 1586 1.0
98 541 1.0
98 54 1.0
98 1382 1.0
98 100 1.0
98 98 4.0
98 23 1.0
100 754 1.0
100 753 1.0
100 98 1.0
100 23 1.0
100 2057 2.0
100 2056 2.0
100 1382 4.0
100 100 4.0
103 811 1.0
103 103 2.0
104 2208 1.0
104 206 1.0
104 104 1.0
104 88 1.0
105 2182 1.0
105 2181 1.0
105 105 1.0
110 2090 2.0
110 1944 1.0
110 110 3.0
113 2058 1.0
113 113 1.0
115 115 1.0
116 2217 1.0
116 116 2.0
118 118 1.0
119 119 1.0
123 793 1.0
123 1867 1.0
123 123 4.0
147 1362 1.0
147 1907 1.0
147 1348 1.0
147 1906 1.0
147 2045 2.0
147 2044 2.0
147 147 8.0
150 356 1.0
150 2003 1.0
150 369 1.0
150 150 3.0
151 151 1.0
153 153 1.0
159 548 1.0
159 1245 1.0
159 159 2.0
161 2199 1.0
161 2128 1.0
161 161 1.0
164 164 1.0
165 2200 1.0
165 879 1.0
165 165 4.0
168 2068 1.0
168 2051 1.0
168 168 2.0
172 172 3.0
185 2078 1.0
185 2077 1.0
185 2076 1.0
185 1613 1.0
185 510 1.0
185 185 1.0
186 1898 1.0
186 186 1.0
192 2222 2.0
192 1293 1.0
192 2127 1.0
192 1243 1.0
192 192 4.0
193 193 1.0
195 195 1.0
198 198 1.0
199 199 1.0
201 2231 1.0
201 2230 2.0
201 1386 2.0
201 1780 1.0
201 1777 1.0
201 1285 1.0
201 1925 3.0
201 1918 3.0
201 1387 3.0
201 488 2.0
201 201 9.0
203 203 1.0
204 1975 1.0
204 204 2.0
205 2021 1.0
205 1780 1.0
205 1035 1.0
205 205 1.0
206 1293 1.0
206 2208 1.0
206 104 1.0
206 2126 1.0
206 764 1.0
206 15 2.0
206 541 1.0
206 88 2.0
206 220 1.0
206 888 3.0
206 214 2.0
206 206 8.0
207 207 1.0
209 209 2.0
210 1090 1.0
210 1399 2.0
210 1278 4.0
210 2097 2.0
210 2089 1.0
210 2088 1.0
210 210 8.0
211 419 1.0
211 2080 1.0
211 620 1.0
211 1953 1.0
211 1952 1.0
211 808 1.0
211 1688 2.0
211 372 1.0
211 2073 2.0
211 211 6.0
212 212 1.0
213 2122 3.0
213 2121 2.0
213 1679 2.0
213 710 3.0
213 540 2.0
213 213 3.0
214 888 1.0
214 214 2.0
214 206 2.0
220 888 1.0
220 220 1.0
220 206 1.0
223 2158 1.0
223 2132 1.0
223 244 1.0
223 892 1.0
223 223 3.0
227 227 1.0
235 758 1.0
235 235 1.0
236 2140 1.0
236 236 2.0
237 1292 1.0
237 237 1.0
238 560 1.0
238 239 1.0
238 238 1.0
239 560 1.0
239 238 1.0
239 2133 1.0
239 1595 1.0
239 239 2.0
240 2153 2.0
240 876 1.0
240 919 1.0
240 2145 2.0
240 857 1.0
240 240 4.0
244 244 1.0
244 223 1.0
246 2120 1.0
246 1295 1.0
246 246 2.0
247 518 1.0
247 247 2.0
248 248 1.0
256 2132 1.0
256 256 1.0
257 1582 1.0
257 257 1.0
259 2161 1.0
259 1896 1.0
259 259 2.0
260 714 1.0
260 260 1.0
261 261 4.0
263 710 1.0
263 1979 1.0
263 1978 1.0
263 2127 1.0
263 1310 1.0
263 263 3.0
264 2139 2.0
264 2138 2.0
264 2137 2.0
264 1832 1.0
264 264 3.0
266 1622 1.0
266 976 1.0
266 266 1.0
271 663 1.0
271 271 1.0
273 273 1.0
275 275 1.0
279 1718 1.0
279 1379 1.0
279 590 1.0
279 811 1.0
279 279 2.0
282 433 1.0
282 282 2.0
283 283 2.0
284 1542 1.0
284 1972 1.0
284 439 1.0
284 1916 1.0
284 284 4.0
287 287 1.0
302 1406 1.0
302 302 1.0
303 2112 2.0
303 2111 2.0
303 2110 2.0
303 2085 2.0
303 765 1.0
303 303 5.0
304 304 1.0
307 1644 1.0
307 1021 1.0
307 307 1.0
324 2176 1.0
324 324 1.0
327 752 1.0
327 2192 3.0
327 1743 2.0
327 401 1.0
327 327 3.0
329 2069 1.0
329 2059 1.0
329 1371 1.0
329 1363 1.0
329 877 1.0
329 2064 2.0
329 1933 2.0
329 329 3.0
329 82 2.0
330 330 1.0
331 331 1.0
336 1973 2.0
336 2086 1.0
336 490 1.0
336 1970 2.0
336 336 4.0
337 2067 1.0
337 2024 1.0
337 2023 1.0
337 1937 1.0
337 1936 1.0
337 1329 1.0
337 1328 1.0
337 337 2.0
339 1346 1.0
339 69 1.0
339 339 3.0
340 1638 1.0
340 551 1.0
340 340 2.0
342 342 1.0
346 346 1.0
347 2158 1.0
347 1589 1.0
347 531 1.0
347 530 1.0
347 2159 3.0
347 1905 1.0
347 1007 2.0
347 2107 2.0
347 1689 2.0
347 1508 1.0
347 1507 1.0
347 1320 1.0
347 1349 1.0
347 728 1.0
347 727 1.0
347 510 1.0
347 347 9.0
348 1154 1.0
348 348 1.0
349 349 2.0
356 356 1.0
356 150 1.0
357 406 1.0
357 357 1.0
362 2022 1.0
362 362 1.0
366 2177 2.0
366 366 2.0
367 367 1.0
369 2007 1.0
369 2003 1.0
369 369 3.0
369 150 1.0
372 1593 1.0
372 1688 1.0
372 372 2.0
372 211 1.0
374 1985 2.0
374 1701 1.0
374 1444 1.0
374 60 1.0
374 374 3.0
382 1051 1.0
382 382 1.0
392 392 1.0
396 1034 1.0
396 1669 1.0
396 396 2.0
397 785 1.0
397 397 1.0
398 956 1.0
398 2184 2.0
398 1157 1.0
398 398 2.0
400 400 1.0
401 2192 1.0
401 1743 1.0
401 401 1.0
401 327 1.0
405 2160 2.0
405 1271 2.0
405 405 2.0
406 406 1.0
406 357 1.0
418 1847 1.0
418 1795 1.0
418 418 2.0
418 34 1.0
419 2035 1.0
419 211 1.0
419 419 3.0
420 1799 1.0
420 2019 1.0
420 541 1.0
420 2217 2.0
420 2216 1.0
420 420 4.0
421 1793 1.0
421 421 1.0
421 23 1.0
424 424 1.0
427 427 1.0
429 2213 1.0
429 2212 1.0
429 429 2.0
430 1197 1.0
430 430 1.0
433 1088 1.0
433 433 4.0
433 282 1.0
434 434 1.0
438 438 2.0
439 2221 2.0
439 1717 1.0
439 2115 1.0
439 22 1.0
439 2131 2.0
439 1715 3.0
439 1972 1.0
439 284 1.0
439 1699 3.0
439 439 9.0
475 475 1.0
480 1013 2.0
480 480 2.0
481 481 1.0
484 1922 1.0
484 484 1.0
