5913 5913
6 4104 1.0
6 5831 1.0
6 2664 1.0
6 2599 1.0
6 4968 1.0
6 4157 1.0
6 1973 1.0
6 336 1.0
6 6 5.0
11 11 1.0
15 3543 1.0
15 2273 1.0
15 5645 2.0
15 74 1.0
15 5644 3.0
15 2131 2.0
15 15 3.0
19 799 1.0
19 3261 1.0
19 5492 1.0
19 19 3.0
22 5852 1.0
22 4937 2.0
22 4872 2.0
22 541 1.0
22 5085 2.0
22 4360 2.0
22 3854 1.0
22 22 4.0
23 1877 1.0
23 4827 1.0
23 5841 1.0
23 3545 1.0
23 1693 1.0
23 5751 2.0
23 5750 2.0
23 4122 2.0
23 4121 1.0
23 1687 2.0
23 4910 1.0
23 1500 1.0
23 58 1.0
23 2371 1.0
23 279 1.0
23 4233 1.0
23 5070 2.0
23 2978 1.0
23 23 13.0
25 5509 2.0
25 5508 2.0
25 5507 2.0
25 3519 1.0
25 25 2.0
28 4887 1.0
28 904 1.0
28 28 1.0
29 5106 2.0
29 29 2.0
31 5849 1.0
31 2417 1.0
31 1095 1.0
31 31 2.0
32 32 2.0
33 3987 1.0
33 4325 1.0
33 4606 1.0
33 4605 1.0
33 2377 2.0
33 558 1.0
33 33 3.0
34 2517 1.0
34 1079 1.0
34 34 1.0
35 2393 1.0
35 1934 1.0
35 35 1.0
37 4231 1.0
37 2938 1.0
37 1622 1.0
37 37 2.0
38 38 1.0
42 5296 1.0
42 5279 1.0
42 3378 1.0
42 1687 1.0
42 98 1.0
42 42 2.0
43 3780 1.0
43 2107 1.0
43 1665 1.0
43 5137 1.0
43 5136 1.0
43 5135 1.0
43 3741 1.0
43 1317 1.0
43 43 2.0
49 4326 1.0
49 5025 1.0
49 4123 1.0
49 1987 1.0
49 5830 1.0
49 4506 1.0
49 1679 1.0
49 284 1.0
49 223 1.0
49 4841 1.0
49 4355 1.0
49 2877 1.0
49 1738 1.0
49 3345 1.0
49 4144 1.0
49 810 1.0
49 195 1.0
49 5493 2.0
49 2739 3.0
49 3633 1.0
49 5215 1.0
49 49 13.0
50 3809 1.0
50 3476 1.0
50 5595 1.0
50 2634 1.0
50 1278 1.0
50 50 2.0
52 5275 2.0
52 5701 3.0
52 5700 3.0
52 760 2.0
52 4959 1.0
52 2615 1.0
52 52 5.0
53 4993 1.0
53 3175 1.0
53 1732 1.0
53 53 1.0
54 54 1.0
55 4279 1.0
55 5219 1.0
55 4501 1.0
55 3783 1.0
55 55 4.0
58 4838 1.0
58 1551 1.0
58 4181 1.0
58 5070 1.0
58 1500 1.0
58 23 1.0
58 4840 1.0
58 4835 1.0
58 5502 2.0
58 1439 2.0
58 5420 1.0
58 351 1.0
58 172 1.0
58 58 9.0
60 5047 1.0
60 618 1.0
60 4066 1.0
60 2113 1.0
60 5044 1.0
60 4323 1.0
60 3519 1.0
60 1793 1.0
60 110 1.0
60 5426 2.0
