857 857
3 418 1.0
3 761 2.0
3 210 1.0
3 624 2.0
3 3 5.0
4 781 2.0
4 779 2.0
4 778 2.0
4 486 1.0
4 4 7.0
6 388 1.0
6 282 1.0
6 197 1.0
6 6 1.0
9 517 1.0
9 88 1.0
9 9 1.0
15 96 1.0
15 741 1.0
15 35 1.0
15 15 4.0
19 763 1.0
19 19 3.0
20 20 2.0
21 763 1.0
21 366 1.0
21 21 1.0
22 395 2.0
22 22 2.0
23 820 1.0
23 23 3.0
24 25 1.0
24 24 1.0
25 25 1.0
25 24 1.0
26 772 1.0
26 692 1.0
26 26 2.0
28 584 1.0
28 28 1.0
29 29 2.0
30 523 1.0
30 30 1.0
31 31 2.0
33 208 3.0
33 33 3.0
34 497 1.0
34 34 1.0
35 633 1.0
35 60 1.0
35 38 1.0
35 741 2.0
35 15 1.0
35 35 5.0
36 688 1.0
36 36 2.0
37 37 1.0
38 741 1.0
38 38 1.0
38 35 1.0
43 43 2.0
45 50 1.0
45 45 2.0
47 47 1.0
49 108 1.0
49 688 1.0
49 686 1.0
49 49 3.0
50 45 1.0
50 701 1.0
50 704 1.0
50 50 4.0
53 752 2.0
53 53 2.0
54 766 1.0
54 438 1.0
54 802 1.0
54 541 1.0
54 370 1.0
54 54 3.0
57 57 2.0
58 638 1.0
58 637 1.0
58 98 1.0
58 58 3.0
59 664 2.0
59 59 4.0
60 633 1.0
60 35 1.0
60 630 1.0
60 723 1.0
60 807 2.0
60 806 2.0
60 805 2.0
60 801 2.0
60 122 1.0
60 60 8.0
62 803 1.0
62 265 1.0
62 208 1.0
62 197 1.0
62 62 3.0
67 67 2.0
69 339 2.0
69 82 2.0
69 70 2.0
69 69 2.0
70 339 2.0
70 82 2.0
70 69 2.0
70 507 1.0
70 329 1.0
70 185 1.0
70 487 1.0
70 377 1.0
70 86 1.0
70 70 6.0
71 392 1.0
71 718 2.0
71 717 2.0
71 71 4.0
73 787 1.0
73 766 1.0
73 419 1.0
73 73 2.0
74 344 1.0
74 150 1.0
74 746 1.0
74 745 1.0
74 744 1.0
74 743 1.0
74 742 1.0
74 687 1.0
74 74 3.0
75 172 1.0
75 788 1.0
75 616 1.0
75 75 2.0
78 79 1.0
78 78 1.0
79 79 1.0
79 78 1.0
80 610 2.0
80 80 2.0
82 92 1.0
82 359 1.0
82 505 1.0
82 339 2.0
82 70 2.0
82 69 2.0
82 740 2.0
82 358 1.0
82 82 8.0
83 774 2.0
83 614 2.0
83 719 1.0
83 83 4.0
84 720 1.0
84 85 1.0
84 84 1.0
85 720 1.0
85 85 1.0
85 84 1.0
86 487 1.0
86 377 1.0
86 70 1.0
86 682 2.0
86 86 4.0
87 87 1.0
88 517 2.0
88 9 1.0
88 88 4.0
89 437 1.0
89 89 1.0
91 92 3.0
91 730 2.0
91 91 4.0
92 730 1.0
92 82 1.0
92 92 4.0
92 91 3.0
96 96 1.0
96 15 1.0
97 623 1.0
97 97 1.0
98 58 1.0
98 98 3.0
99 99 1.0
100 723 1.0
100 623 1.0
100 100 1.0
101 755 1.0
101 101 2.0
102 119 1.0
102 102 1.0
103 434 1.0
103 114 1.0
103 811 1.0
103 103 4.0
107 808 1.0
107 107 2.0
108 108 2.0
108 49 1.0
109 537 1.0
109 543 2.0
109 109 3.0
110 758 1.0
110 285 1.0
110 205 1.0
110 532 1.0
110 526 1.0
110 628 1.0
110 110 4.0
111 259 1.0
111 112 1.0
111 111 2.0
112 259 1.0
112 112 1.0
112 111 1.0
114 114 1.0
114 103 1.0
115 115 1.0
119 119 1.0
119 102 1.0
120 120 1.0
121 121 1.0
122 122 2.0
122 60 1.0
123 793 1.0
123 792 1.0
123 123 1.0
125 793 1.0
125 792 1.0
125 125 1.0
127 855 1.0
127 835 1.0
127 837 1.0
127 823 1.0
127 788 1.0
127 639 1.0
127 465 1.0
127 127 4.0
130 130 1.0
134 134 1.0
135 830 1.0
135 828 2.0
135 827 1.0
135 826 1.0
135 137 1.0
135 135 4.0
137 828 1.0
137 827 2.0
137 826 2.0
137 137 3.0
137 135 1.0
139 326 1.0
139 337 2.0
139 139 3.0
141 444 1.0
141 308 1.0
141 307 1.0
141 141 2.0
146 326 1.0
146 146 1.0
147 443 1.0
147 394 1.0
147 307 1.0
147 770 1.0
147 733 2.0
147 732 2.0
147 147 6.0
148 837 1.0
148 148 1.0
150 842 1.0
150 344 1.0
150 74 1.0
150 150 3.0
155 155 3.0
158 611 1.0
158 326 2.0
158 722 2.0
158 721 2.0
158 158 4.0
159 160 1.0
159 159 1.0
160 160 1.0
160 159 1.0
161 161 1.0
166 166 1.0
167 339 2.0
167 167 3.0
168 724 1.0
168 168 3.0
172 75 1.0
172 777 2.0
172 776 2.0
172 775 2.0
172 350 3.0
172 172 4.0
178 178 2.0
180 180 1.0
185 318 1.0
185 185 2.0
185 70 1.0
186 186 1.0
187 187 2.0
192 192 1.0
193 782 1.0
193 798 1.0
193 193 2.0
195 195 2.0
197 388 1.0
197 282 1.0
197 6 1.0
197 197 2.0
197 62 1.0
198 198 1.0
201 508 1.0
201 549 1.0
201 201 2.0
203 734 2.0
203 203 3.0
204 204 1.0
205 285 1.0
205 110 1.0
205 376 1.0
205 758 2.0
205 750 1.0
205 205 4.0
206 747 1.0
206 327 1.0
206 220 1.0
206 206 2.0
207 211 1.0
207 207 2.0
208 62 1.0
208 208 5.0
208 33 3.0
209 427 1.0
209 209 1.0
210 797 1.0
210 373 1.0
210 761 1.0
210 3 1.0
210 760 2.0
210 210 7.0
211 375 1.0
211 369 1.0
211 207 1.0
211 439 1.0
211 749 2.0
211 620 3.0
211 374 2.0
211 211 9.0
213 213 1.0
214 214 1.0
215 215 1.0
218 218 2.0
220 327 1.0
220 206 1.0
220 220 2.0
223 223 3.0
228 228 1.0
229 709 2.0
229 708 2.0
229 229 3.0
231 231 1.0
235 235 1.0
237 261 1.0
237 237 3.0
238 238 1.0
242 242 1.0
245 751 1.0
245 245 1.0
246 844 1.0
246 843 1.0
246 839 1.0
246 820 1.0
246 246 1.0
247 247 1.0
250 250 1.0
255 255 1.0
256 256 1.0
257 663 2.0
257 661 2.0
257 731 2.0
257 257 4.0
259 112 1.0
259 111 1.0
259 259 2.0
260 260 1.0
261 518 3.0
261 261 6.0
261 237 1.0
263 263 1.0
264 577 1.0
264 576 1.0
264 662 1.0
264 264 2.0
265 803 1.0
265 265 1.0
265 62 1.0
272 272 2.0
275 275 1.0
282 433 1.0
282 388 1.0
282 282 2.0
282 197 1.0
282 6 1.0
283 283 2.0
284 284 1.0
285 758 1.0
285 285 1.0
285 205 1.0
285 110 1.0
293 797 1.0
293 430 1.0
293 293 1.0
295 296 1.0
295 751 1.0
295 295 2.0
296 296 1.0
296 295 1.0
299 299 3.0
301 527 1.0
301 302 1.0
301 301 1.0
302 527 1.0
302 302 1.0
302 301 1.0
303 765 2.0
303 764 2.0
303 303 3.0
304 304 1.0
306 306 1.0
307 444 1.0
307 308 1.0
307 141 1.0
307 443 1.0
307 394 2.0
307 147 1.0
307 528 1.0
307 307 4.0
308 647 1.0
308 444 1.0
308 308 2.0
308 307 1.0
308 141 1.0
309 844 1.0
309 841 2.0
309 840 2.0
309 839 1.0
309 309 5.0
314 832 1.0
314 314 1.0
318 185 1.0
318 318 2.0
322 836 1.0
322 322 2.0
323 323 1.0
325 634 1.0
325 325 1.0
326 722 1.0
326 721 1.0
326 139 1.0
326 611 1.0
326 158 2.0
326 326 4.0
326 146 1.0
327 220 1.0
327 206 1.0
327 327 2.0
329 70 1.0
329 329 4.0
332 332 1.0
