4341 4341
6 4105 1.0
6 4104 1.0
6 2724 1.0
6 3528 2.0
6 2664 2.0
6 2414 1.0
6 6 3.0
15 3411 1.0
15 4325 1.0
15 2967 1.0
15 3309 1.0
15 3981 1.0
15 1775 1.0
15 4273 1.0
15 2955 1.0
15 2131 2.0
15 1699 1.0
15 4151 2.0
15 4077 1.0
15 4076 2.0
15 1982 1.0
15 781 1.0
15 3885 1.0
15 2273 2.0
15 15 9.0
20 3314 1.0
20 1651 1.0
20 360 1.0
20 20 1.0
22 3855 1.0
22 3854 2.0
22 2397 1.0
22 1946 1.0
22 1289 1.0
22 22 2.0
23 203 1.0
23 2140 1.0
23 1739 1.0
23 590 1.0
23 96 1.0
23 3910 1.0
23 1835 1.0
23 23 11.0
26 2270 1.0
26 26 2.0
28 3292 1.0
28 28 1.0
29 30 1.0
29 29 2.0
30 30 1.0
30 29 1.0
32 3856 1.0
32 4069 2.0
32 2417 1.0
32 32 3.0
33 4325 1.0
33 33 1.0
35 4326 1.0
35 2393 1.0
35 35 1.0
36 993 1.0
36 3991 1.0
36 3975 1.0
36 36 2.0
37 4231 1.0
37 37 1.0
38 4143 2.0
38 38 2.0
39 2163 1.0
39 1614 2.0
39 39 2.0
42 3676 1.0
42 3279 1.0
42 3020 1.0
42 3476 1.0
42 2218 1.0
42 2069 2.0
42 42 2.0
49 2004 1.0
49 2343 1.0
49 2612 1.0
49 4144 1.0
49 2344 3.0
49 810 3.0
49 4107 1.0
49 1382 1.0
49 4090 1.0
49 3345 2.0
49 3806 1.0
49 3805 1.0
49 49 10.0
50 2379 1.0
50 1278 1.0
50 3809 2.0
50 1795 2.0
50 50 3.0
52 2499 1.0
52 760 1.0
52 563 1.0
52 52 2.0
53 4270 1.0
53 391 1.0
53 53 1.0
54 3500 1.0
54 2019 1.0
54 1593 1.0
54 54 1.0
55 3783 2.0
55 1564 1.0
55 55 2.0
58 2792 1.0
58 1439 1.0
58 4236 1.0
58 4235 2.0
58 4203 3.0
58 4195 1.0
58 3653 1.0
58 2745 1.0
58 3529 1.0
58 195 1.0
58 1089 1.0
58 645 1.0
58 590 1.0
58 58 11.0
59 3855 1.0
59 1946 1.0
59 1289 1.0
59 59 3.0
60 2114 1.0
60 3533 1.0
60 2030 1.0
60 4085 2.0
60 2113 3.0
60 3979 3.0
60 2902 4.0
60 60 7.0
62 62 1.0
69 3676 1.0
69 2069 1.0
69 4271 2.0
69 3429 1.0
69 2937 1.0
69 1705 1.0
69 1224 1.0
69 69 2.0
70 4282 1.0
70 2176 1.0
70 83 1.0
70 2578 1.0
70 4052 3.0
70 4046 1.0
70 3965 1.0
70 332 2.0
70 3438 1.0
70 2308 1.0
70 3943 1.0
70 2991 1.0
70 70 9.0
73 3498 1.0
73 414 1.0
73 73 1.0
74 1793 1.0
74 746 1.0
74 3393 1.0
74 3392 1.0
74 1250 1.0
74 2966 2.0
74 3183 1.0
74 110 2.0
74 3671 2.0
74 3670 2.0
74 2444 2.0
74 74 9.0
81 4092 2.0
81 81 2.0
82 3116 1.0
82 2917 1.0
82 3414 1.0
82 2710 1.0
82 3219 1.0
82 4292 3.0
82 4291 2.0
82 4287 2.0
82 4285 2.0
82 4284 2.0
82 4283 2.0
82 4281 3.0
82 1933 3.0
82 329 1.0
82 3110 3.0
82 2396 4.0
82 259 3.0
82 4042 2.0
82 4041 1.0
82 4040 2.0
82 4039 1.0
82 3984 1.0
82 3913 3.0
82 3369 3.0
82 2178 3.0
82 82 13.0
83 2176 1.0
83 70 1.0
83 4038 1.0
83 2331 1.0
83 2329 1.0
83 340 1.0
83 1780 1.0
83 201 1.0
83 83 3.0
86 3454 1.0
86 3137 1.0
86 86 1.0
88 2105 1.0
88 4071 1.0
88 4070 1.0
88 88 3.0
89 89 1.0
90 2658 1.0
90 90 1.0
91 2062 1.0
91 318 1.0
91 4019 1.0
91 3997 1.0
91 1362 1.0
91 91 3.0
96 4074 1.0
96 2393 2.0
96 3325 1.0
96 3559 2.0
96 2839 2.0
96 2838 2.0
96 23 1.0
96 96 8.0
98 2593 1.0
98 4154 1.0
98 2890 1.0
98 1687 2.0
98 541 1.0
98 434 1.0
98 2749 1.0
98 4068 2.0
98 3616 3.0
