150 150
0 1 2.0
0 0 2.0
1 1 2.0
1 0 2.0
2 2 2.0
3 39 1.0
3 3 3.0
4 49 1.0
4 5 1.0
4 4 5.0
5 19 1.0
5 18 2.0
5 5 4.0
5 4 1.0
6 15 1.0
6 6 2.0
7 8 1.0
7 7 2.0
8 8 2.0
8 7 1.0
9 13 1.0
9 10 1.0
9 9 3.0
10 14 1.0
10 10 3.0
10 9 1.0
11 11 3.0
12 73 1.0
12 72 1.0
12 12 3.0
13 9 1.0
13 15 1.0
13 14 1.0
13 13 2.0
14 10 1.0
14 15 1.0
14 14 2.0
14 13 1.0
15 113 1.0
15 6 1.0
15 60 1.0
15 15 4.0
15 14 1.0
15 13 1.0
16 17 2.0
16 16 2.0
17 17 2.0
17 16 2.0
18 19 1.0
18 18 2.0
18 5 2.0
19 34 1.0
19 19 3.0
19 18 1.0
19 5 1.0
20 20 3.0
21 21 2.0
22 36 1.0
22 22 2.0
23 129 1.0
23 25 1.0
23 24 1.0
23 23 5.0
24 25 2.0
24 24 2.0
24 23 1.0
25 25 2.0
25 24 2.0
25 23 1.0
26 26 4.0
27 28 2.0
27 27 2.0
28 28 2.0
28 27 2.0
29 30 2.0
29 29 2.0
30 30 3.0
30 29 2.0
31 100 1.0
31 99 1.0
31 97 1.0
31 32 2.0
31 31 2.0
32 100 1.0
32 99 1.0
32 97 1.0
32 32 3.0
32 31 2.0
33 33 2.0
34 19 1.0
34 34 2.0
35 35 2.0
36 22 1.0
36 36 2.0
37 37 3.0
38 38 2.0
39 39 2.0
39 3 1.0
40 40 2.0
41 42 1.0
41 41 2.0
42 42 2.0
42 41 1.0
43 44 2.0
43 43 2.0
44 44 2.0
44 43 2.0
45 56 1.0
45 45 3.0
46 47 2.0
46 46 2.0
47 47 2.0
47 46 2.0
48 48 2.0
49 98 1.0
49 49 4.0
49 4 1.0
50 51 1.0
50 50 2.0
51 51 2.0
51 50 1.0
52 52 2.0
53 76 1.0
53 55 1.0
53 53 2.0
54 54 4.0
55 53 1.0
55 76 3.0
55 55 4.0
56 45 1.0
