2420 2420
4 4 1.0
6 1088 1.0
6 6 1.0
8 786 1.0
8 404 1.0
8 8 1.0
12 287 1.0
12 12 1.0
15 1968 1.0
15 1293 1.0
15 1406 1.0
15 2225 2.0
15 1979 2.0
15 1978 2.0
15 2377 1.0
15 1699 1.0
15 33 1.0
15 15 5.0
19 19 1.0
20 1009 1.0
20 20 1.0
21 2258 1.0
21 2163 1.0
21 45 1.0
21 21 1.0
22 2397 2.0
22 22 4.0
23 2393 1.0
23 2391 2.0
23 2390 2.0
23 1501 1.0
23 1500 1.0
23 23 7.0
24 1109 1.0
24 24 1.0
26 1094 1.0
26 1530 1.0
26 1677 1.0
26 2270 2.0
26 26 6.0
29 49 1.0
29 211 1.0
29 1023 2.0
29 29 3.0
30 1896 1.0
30 1703 1.0
30 30 3.0
31 31 1.0
33 2377 2.0
33 1699 1.0
33 33 2.0
33 15 1.0
34 34 1.0
36 36 1.0
37 2283 1.0
37 2087 1.0
37 1897 2.0
37 37 3.0
45 2258 1.0
45 2163 1.0
45 45 1.0
45 21 1.0
49 2405 2.0
49 710 1.0
49 1023 1.0
49 29 1.0
49 2361 3.0
49 1680 3.0
49 810 2.0
49 49 9.0
50 2379 2.0
50 2378 2.0
50 50 2.0
52 1953 1.0
52 52 1.0
54 1877 1.0
54 2403 2.0
54 54 5.0
57 2374 2.0
57 1929 2.0
57 1671 1.0
57 57 3.0
58 2079 1.0
58 58 3.0
59 59 1.0
60 2012 1.0
60 1867 1.0
60 207 1.0
60 2113 2.0
60 1963 1.0
60 60 4.0
62 1966 1.0
62 2381 1.0
62 2006 1.0
62 62 3.0
68 1079 1.0
68 104 1.0
68 68 2.0
69 1933 1.0
69 82 1.0
69 69 1.0
70 332 1.0
70 1941 1.0
70 1789 1.0
70 1032 1.0
70 507 1.0
70 83 1.0
70 2320 2.0
70 329 2.0
70 2314 2.0
70 2313 1.0
70 2312 1.0
70 1007 1.0
70 2308 2.0
70 70 10.0
73 787 1.0
73 2002 1.0
73 1417 1.0
73 73 3.0
74 2220 2.0
74 150 1.0
74 74 5.0
75 2191 1.0
75 1998 1.0
75 168 1.0
75 75 1.0
82 2176 1.0
82 2065 1.0
82 1426 1.0
82 1931 1.0
82 2396 2.0
82 2064 1.0
82 329 1.0
82 1933 2.0
82 82 7.0
82 69 1.0
83 1941 1.0
83 1789 1.0
83 1032 1.0
83 507 1.0
83 83 2.0
83 70 1.0
88 1780 1.0
88 2208 1.0
88 888 1.0
88 206 1.0
88 1035 2.0
88 88 3.0
97 97 1.0
99 1779 1.0
99 764 1.0
99 99 1.0
100 2401 1.0
100 1099 1.0
100 2124 1.0
100 100 2.0
101 543 1.0
101 101 1.0
102 102 1.0
104 1968 1.0
104 1404 1.0
104 206 1.0
104 1079 1.0
104 104 2.0
104 68 1.0
109 2369 2.0
109 2368 2.0
109 1257 2.0
109 109 2.0
110 1944 1.0
110 211 1.0
110 110 2.0
111 415 1.0
111 2164 1.0
111 112 2.0
111 111 2.0
112 415 1.0
112 2164 1.0
112 112 2.0
112 111 2.0
115 115 1.0
116 116 1.0
120 120 1.0
122 418 1.0
122 383 2.0
122 122 3.0
147 2325 2.0
147 2295 2.0
147 2045 1.0
147 1362 2.0
147 2044 1.0
147 1907 1.0
147 1906 2.0
147 1431 1.0
147 147 5.0
150 150 1.0
150 74 1.0
155 329 1.0
155 165 1.0
155 155 2.0
159 2290 1.0
159 2334 1.0
159 1245 2.0
159 2289 4.0
159 2288 2.0
159 159 6.0
164 2304 1.0
164 2303 1.0
164 164 1.0
165 329 1.0
165 165 1.0
165 155 1.0
166 166 1.0
167 167 1.0
168 2191 1.0
168 1998 1.0
168 168 1.0
168 75 1.0
169 590 1.0
169 169 1.0
172 2297 1.0
172 2317 2.0
172 2316 2.0
172 2299 2.0
172 2298 1.0
172 172 7.0
180 180 1.0
186 1350 1.0
186 186 1.0
192 1754 1.0
192 192 1.0
195 2419 1.0
195 540 1.0
195 195 3.0
196 196 1.0
198 198 1.0
199 2287 1.0
199 1679 1.0
199 199 1.0
201 1311 1.0
201 2321 1.0
201 2335 1.0
201 1147 1.0
201 2385 3.0
201 2384 2.0
201 2383 1.0
201 1925 2.0
201 1918 2.0
201 1780 1.0
201 1387 2.0
201 201 7.0
203 203 1.0
204 1975 1.0
204 204 2.0
205 2414 1.0
205 2105 1.0
205 1182 1.0
205 205 1.0
206 1968 1.0
206 1404 1.0
206 104 1.0
206 2208 1.0
206 888 1.0
206 206 2.0
206 88 1.0
207 1867 1.0
207 207 1.0
207 60 1.0
210 1090 1.0
210 2097 1.0
210 210 2.0
211 765 1.0
211 1944 1.0
211 110 1.0
211 2357 1.0
211 2073 2.0
211 29 1.0
211 2365 1.0
211 1688 1.0
211 372 1.0
211 2349 2.0
211 2094 1.0
211 211 11.0
213 2122 1.0
213 2121 1.0
213 710 1.0
213 213 1.0
214 2081 1.0
214 214 1.0
216 999 1.0
216 216 1.0
218 1294 1.0
218 865 1.0
218 864 1.0
218 218 4.0
221 2269 2.0
221 2268 2.0
221 221 2.0
223 356 1.0
223 1698 1.0
223 492 1.0
223 892 1.0
223 891 1.0
223 1831 1.0
223 244 1.0
223 223 4.0
228 228 1.0
237 1834 1.0
237 701 1.0
237 261 1.0
237 2239 2.0
237 1292 2.0
237 237 4.0
238 2240 2.0
238 560 1.0
238 239 1.0
238 238 2.0
239 2240 1.0
239 560 1.0
239 238 1.0
239 1315 1.0
239 239 2.0
240 1122 1.0
240 240 1.0
241 241 1.0
244 1831 1.0
244 244 1.0
244 223 1.0
246 1295 1.0
246 2120 1.0
246 246 5.0
247 1555 1.0
247 1592 1.0
247 563 1.0
247 518 1.0
247 247 3.0
257 2276 1.0
257 257 2.0
259 1842 1.0
259 1840 1.0
259 259 1.0
260 2259 1.0
260 260 1.0
261 1834 1.0
261 701 1.0
261 237 1.0
261 261 3.0
263 2127 1.0
263 1310 1.0
263 263 1.0
264 2139 1.0
264 2138 1.0
264 2137 1.0
264 1832 1.0
264 264 2.0
266 943 1.0
266 266 1.0
278 278 1.0
279 279 1.0
283 2415 2.0
283 283 3.0
284 710 1.0
284 2392 1.0
284 284 2.0
287 287 2.0
287 12 1.0
292 1181 1.0
292 484 1.0
292 292 1.0
293 2241 1.0
293 293 1.0
299 1376 1.0
299 2350 1.0
299 1079 1.0
299 299 2.0
302 302 1.0
303 2370 1.0
303 2085 1.0
303 2112 1.0
303 2111 1.0
303 303 2.0
327 731 1.0
327 327 1.0
329 165 1.0
329 155 1.0
329 2396 1.0
329 2064 1.0
329 1933 1.0
329 82 1.0
329 2320 2.0
329 329 4.0
329 70 2.0
331 331 2.0
332 70 1.0
332 1930 1.0
332 332 2.0
335 723 1.0
335 335 1.0
336 1973 2.0
336 1088 1.0
336 1970 1.0
336 336 4.0
337 2335 1.0
337 1171 1.0
337 337 1.0
339 1346 1.0
339 339 2.0
340 551 1.0
340 2030 1.0
340 2331 2.0
340 2330 2.0
340 2329 2.0
340 2314 1.0
340 2313 1.0
340 2312 1.0
340 1007 1.0
340 340 8.0
345 999 1.0
345 345 1.0
346 346 1.0
347 1905 1.0
347 2272 2.0
347 2034 1.0
347 1508 1.0
347 1347 1.0
347 2243 1.0
347 1672 4.0
347 1589 1.0
347 713 1.0
347 347 6.0
356 223 1.0
356 356 3.0
357 406 1.0
357 357 1.0
358 358 1.0
360 1009 2.0
360 360 2.0
361 2273 1.0
361 710 1.0
361 361 1.0
366 1560 1.0
366 366 3.0
369 369 1.0
372 1688 1.0
372 372 1.0
372 211 1.0
374 374 1.0
376 376 1.0
383 383 2.0
383 122 2.0
387 2241 1.0
387 2218 1.0
387 387 3.0
388 2407 1.0
388 1976 1.0
388 388 2.0
390 390 1.0
394 661 1.0
394 394 1.0
395 395 1.0
400 400 1.0
401 401 1.0
404 786 1.0
404 404 1.0
404 8 1.0
405 420 1.0
405 2160 2.0
405 1271 1.0
405 484 1.0
405 405 3.0
406 406 1.0
406 357 1.0
412 487 1.0
412 412 1.0
415 415 1.0
415 112 1.0
415 111 1.0
418 2416 1.0
418 122 1.0
418 2037 1.0
418 418 3.0
419 419 2.0
420 2160 1.0
420 405 1.0
420 2090 1.0
420 1874 1.0
420 1309 1.0
420 420 2.0
424 424 1.0
427 427 1.0
433 2409 1.0
433 1872 1.0
433 433 2.0
438 2370 1.0
438 2345 2.0
438 2002 1.0
438 1895 1.0
438 438 3.0
439 2413 2.0
439 2206 2.0
439 2397 1.0
439 1715 5.0
439 2221 1.0
439 439 8.0
450 816 1.0
450 450 1.0
465 465 1.0
475 475 2.0
480 480 1.0
484 1702 1.0
484 1181 2.0
484 292 1.0
484 484 3.0
484 405 1.0
486 2292 2.0
486 486 2.0
487 487 1.0
487 412 1.0
488 1986 1.0
488 2084 2.0
488 2395 2.0
488 1710 1.0
488 488 5.0
492 1698 1.0
492 492 2.0
492 223 1.0
498 498 1.0
505 1820 1.0
505 505 1.0
507 83 1.0
507 70 1.0
507 1941 2.0
507 1789 2.0
507 1032 2.0
507 507 2.0
510 1349 1.0
510 728 1.0
510 727 1.0
510 510 1.0
516 755 1.0
516 516 1.0
518 1902 2.0
518 247 1.0
518 518 4.0
530 2103 1.0
530 1311 1.0
530 530 2.0
531 725 1.0
531 531 2.0
532 532 1.0
533 533 1.0
540 195 1.0
540 540 3.0
