2971 2971
15 2955 1.0
15 2883 1.0
15 1699 1.0
15 2131 1.0
15 2841 1.0
15 1406 1.0
15 414 1.0
15 15 4.0
19 2895 1.0
19 19 1.0
20 20 1.0
22 22 1.0
23 2962 1.0
23 2745 1.0
23 1541 1.0
23 23 10.0
25 25 1.0
26 26 2.0
28 28 1.0
29 2815 2.0
29 2814 2.0
29 29 2.0
30 30 1.0
31 2905 1.0
31 2718 1.0
31 1985 1.0
31 1701 1.0
31 2869 2.0
31 2868 2.0
31 2867 2.0
31 1444 3.0
31 31 3.0
32 2949 1.0
32 2950 1.0
32 2417 2.0
32 32 2.0
33 2377 1.0
33 975 1.0
33 33 2.0
34 1176 1.0
34 34 1.0
36 2799 1.0
36 36 3.0
37 37 1.0
38 2033 1.0
38 2906 2.0
38 38 3.0
39 2791 1.0
39 39 1.0
43 1317 1.0
43 43 1.0
45 2163 1.0
45 1298 2.0
45 45 3.0
49 2361 1.0
49 2721 2.0
49 810 1.0
49 280 1.0
49 2745 1.0
49 49 6.0
50 2732 2.0
50 2731 1.0
50 2256 1.0
50 976 1.0
50 50 2.0
53 391 1.0
53 53 1.0
54 2019 1.0
54 2907 2.0
54 541 3.0
54 54 5.0
55 1564 1.0
55 55 2.0
57 2374 2.0
57 1929 2.0
57 2870 1.0
57 57 3.0
58 2964 1.0
58 58 1.0
59 2495 1.0
59 59 4.0
60 1701 1.0
60 74 1.0
60 2954 2.0
60 2902 1.0
60 2114 1.0
60 2113 1.0
60 2012 1.0
60 2866 2.0
60 60 6.0
62 2206 1.0
62 1966 1.0
62 62 2.0
64 2784 2.0
64 64 2.0
65 65 1.0
67 67 1.0
68 68 1.0
69 2567 1.0
69 2566 1.0
69 82 1.0
69 2810 1.0
69 1038 1.0
69 69 2.0
70 2938 2.0
70 2852 1.0
70 2826 1.0
70 2064 1.0
70 505 1.0
70 82 1.0
70 2935 1.0
70 2308 1.0
70 2320 2.0
70 2578 1.0
70 332 1.0
70 70 8.0
71 1342 1.0
71 718 1.0
71 71 1.0
74 60 1.0
74 110 1.0
74 74 2.0
75 2191 1.0
75 75 1.0
82 159 1.0
82 88 1.0
