327 327
3 3 1.0
4 4 3.0
6 219 1.0
6 6 1.0
8 173 2.0
8 172 2.0
8 8 2.0
10 285 3.0
10 284 1.0
10 38 1.0
10 14 5.0
10 10 6.0
12 12 1.0
14 285 3.0
14 284 1.0
14 38 1.0
14 14 5.0
14 10 5.0
15 113 2.0
15 15 2.0
16 16 1.0
17 17 1.0
19 205 1.0
19 19 2.0
20 286 2.0
20 20 2.0
23 313 1.0
23 270 1.0
23 269 1.0
23 294 1.0
23 244 1.0
23 23 6.0
26 271 2.0
26 194 3.0
26 26 6.0
28 263 1.0
28 28 1.0
31 32 1.0
31 31 1.0
32 32 1.0
32 31 1.0
34 245 2.0
34 34 2.0
36 250 1.0
36 36 1.0
37 213 1.0
37 293 1.0
37 50 2.0
37 214 1.0
37 161 1.0
37 160 1.0
37 159 1.0
37 37 4.0
38 38 1.0
38 14 1.0
38 10 1.0
39 39 1.0
41 42 1.0
41 41 1.0
42 42 1.0
42 41 1.0
44 83 1.0
44 82 1.0
44 44 1.0
45 212 2.0
45 45 5.0
49 49 2.0
50 213 1.0
50 37 2.0
50 293 2.0
50 218 1.0
50 50 3.0
52 52 2.0
53 206 1.0
53 53 1.0
54 303 1.0
54 54 3.0
55 76 1.0
55 55 1.0
57 187 2.0
57 57 2.0
58 165 1.0
58 90 1.0
58 58 3.0
59 192 2.0
59 59 3.0
60 99 1.0
60 250 1.0
60 207 1.0
60 60 3.0
61 62 1.0
61 61 1.0
62 61 1.0
62 265 2.0
62 247 2.0
62 246 2.0
62 197 2.0
62 196 1.0
62 126 2.0
62 62 8.0
64 64 1.0
65 216 1.0
65 65 2.0
66 121 1.0
66 66 1.0
67 67 1.0
68 206 1.0
68 68 2.0
69 70 1.0
69 69 3.0
70 174 1.0
70 86 1.0
70 92 2.0
70 91 2.0
70 185 1.0
70 70 5.0
70 69 1.0
72 276 1.0
72 168 1.0
72 73 2.0
72 72 3.0
73 168 1.0
73 73 3.0
73 72 2.0
74 165 1.0
74 182 1.0
74 181 1.0
74 180 1.0
74 74 6.0
75 164 3.0
75 75 3.0
76 76 1.0
76 55 1.0
77 77 1.0
78 319 1.0
78 78 1.0
80 127 1.0
80 80 1.0
82 44 1.0
82 183 1.0
82 154 1.0
82 139 1.0
82 83 3.0
82 82 4.0
83 44 1.0
83 183 1.0
83 154 1.0
83 139 1.0
83 83 3.0
83 82 3.0
84 174 2.0
84 86 2.0
84 84 2.0
86 70 1.0
86 84 2.0
86 174 4.0
86 86 4.0
88 88 1.0
90 165 1.0
90 58 1.0
90 145 1.0
90 90 2.0
91 92 2.0
91 91 2.0
91 70 2.0
92 92 2.0
92 91 2.0
92 70 2.0
95 95 2.0
96 96 2.0
98 281 2.0
98 98 3.0
99 99 1.0
99 60 1.0
100 284 1.0
100 100 1.0
101 196 1.0
101 101 3.0
102 119 1.0
102 102 3.0
103 103 2.0
104 104 1.0
108 287 2.0
108 108 4.0
