3641 3641
6 2724 1.0
6 2073 1.0
6 3234 1.0
6 418 1.0
6 3528 2.0
6 2664 3.0
6 6 5.0
10 3557 1.0
10 3556 1.0
10 1089 1.0
10 10 1.0
12 981 1.0
12 633 1.0
12 12 2.0
15 3560 1.0
15 3309 2.0
15 2131 1.0
15 2043 1.0
15 2967 1.0
15 110 1.0
15 60 1.0
15 15 7.0
20 3419 1.0
20 3524 2.0
20 3314 1.0
20 2129 1.0
20 360 1.0
20 20 3.0
23 2390 1.0
23 3517 2.0
23 74 1.0
23 3282 1.0
23 2150 1.0
23 1727 1.0
23 3293 1.0
23 237 1.0
23 223 1.0
23 23 7.0
24 24 1.0
25 3623 1.0
25 25 1.0
26 3039 1.0
26 2270 1.0
26 993 1.0
26 26 3.0
29 29 1.0
30 2581 1.0
30 30 2.0
31 31 1.0
35 211 1.0
35 35 1.0
36 36 1.0
37 1622 1.0
37 37 1.0
38 3237 1.0
38 38 2.0
39 1614 1.0
39 2163 2.0
39 39 2.0
43 3409 1.0
43 1317 1.0
43 43 2.0
45 2163 1.0
45 1298 1.0
45 45 1.0
49 2361 1.0
49 3511 1.0
49 2004 1.0
49 3626 1.0
49 3575 1.0
49 1623 1.0
49 1244 1.0
49 3518 2.0
49 620 2.0
49 3484 1.0
49 3345 3.0
49 1614 3.0
49 2344 2.0
49 810 3.0
49 49 14.0
50 2379 1.0
50 1278 1.0
50 3307 1.0
50 2380 2.0
50 50 3.0
52 419 1.0
52 52 1.0
53 2422 1.0
53 53 2.0
55 3327 1.0
55 55 1.0
58 1877 1.0
58 1089 1.0
58 3066 1.0
58 172 1.0
58 351 2.0
58 1831 1.0
58 58 7.0
59 59 1.0
60 3533 2.0
60 1985 2.0
60 1701 1.0
60 1444 1.0
60 2967 1.0
60 110 1.0
60 15 1.0
60 2608 1.0
60 2113 1.0
60 2866 1.0
60 1699 1.0
60 60 5.0
64 3043 1.0
64 64 1.0
69 2702 1.0
69 3429 2.0
69 1705 2.0
69 2567 1.0
69 2566 1.0
69 69 4.0
70 1311 1.0
70 2069 1.0
70 1933 1.0
70 2991 1.0
70 1371 1.0
70 329 2.0
70 3440 2.0
70 3439 2.0
70 3438 2.0
70 2308 3.0
70 70 9.0
71 71 1.0
73 73 1.0
74 2228 1.0
74 3469 1.0
74 3508 3.0
74 110 5.0
74 74 7.0
74 23 1.0
80 80 1.0
82 1338 1.0
82 3108 1.0
82 2826 1.0
82 2396 1.0
82 3471 2.0
82 3116 1.0
82 1937 1.0
82 1936 1.0
82 505 2.0
82 2040 3.0
82 82 6.0
83 1780 1.0
83 201 1.0
83 2331 1.0
83 2329 1.0
83 340 1.0
83 1638 1.0
83 551 1.0
83 83 3.0
84 85 1.0
84 84 1.0
85 85 1.0
85 84 1.0
86 3137 1.0
86 3455 3.0
86 3454 2.0
86 86 4.0
88 1418 1.0
88 1949 1.0
88 543 1.0
88 761 1.0
88 88 3.0
89 89 1.0
96 2839 1.0
96 2838 1.0
96 765 1.0
96 3559 2.0
96 96 5.0
98 3616 3.0
98 3615 2.0
98 3551 1.0
98 2589 1.0
98 765 1.0
98 764 1.0
98 3487 2.0
98 3360 1.0
98 3359 1.0
98 3318 2.0
98 1687 2.0
98 98 10.0
99 99 1.0
100 100 1.0
102 521 1.0
102 102 2.0
103 3547 1.0
103 1679 1.0
103 103 1.0
105 105 1.0
108 3543 1.0
108 569 1.0
108 108 1.0
109 2416 1.0
109 2407 1.0
109 109 3.0
110 3469 1.0
110 3619 1.0
110 2967 1.0
110 60 1.0
110 15 1.0
110 2894 1.0
110 3508 3.0
110 74 5.0
110 2606 2.0
110 3505 1.0
110 1978 1.0
110 1934 1.0
110 3371 1.0
110 420 1.0
110 110 12.0
113 113 1.0
119 120 1.0
119 119 1.0
120 120 1.0
120 119 1.0
122 122 1.0
141 351 1.0
141 141 1.0
147 1946 1.0
147 1289 1.0
147 2930 1.0
147 2929 1.0
147 3593 1.0
147 3218 1.0
147 3216 1.0
147 2305 1.0
147 3466 2.0
147 147 5.0
150 220 1.0
150 150 2.0
151 151 1.0
158 2811 1.0
158 158 1.0
159 3473 1.0
159 2395 1.0
159 3536 1.0
159 3120 1.0
159 160 1.0
159 3430 1.0
159 2290 2.0
159 2828 4.0
159 159 6.0
160 3536 1.0
160 3120 1.0
160 160 1.0
160 159 1.0
161 3619 1.0
161 2955 1.0
161 2866 1.0
161 1699 1.0
161 3441 1.0
161 3370 2.0
161 161 3.0
165 3636 1.0
165 2727 1.0
165 165 2.0
172 3066 1.0
172 351 1.0
172 172 1.0
172 58 1.0
174 1696 1.0
174 1454 1.0
174 174 1.0
193 3264 1.0
193 3633 2.0
193 193 3.0
195 3248 1.0
195 727 1.0
195 2419 2.0
195 3529 3.0
195 2405 2.0
195 418 1.0
195 217 1.0
195 195 8.0
197 1795 1.0
197 2966 1.0
197 1952 2.0
197 197 2.0
201 2384 1.0
201 2047 1.0
201 1311 1.0
201 1780 1.0
201 83 1.0
201 2385 1.0
201 3168 1.0
201 2248 3.0
201 1081 1.0
201 1080 1.0
201 3095 2.0
201 2805 3.0
201 201 7.0
202 3614 1.0
202 3572 1.0
202 202 1.0
203 203 1.0
204 2467 1.0
204 204 1.0
205 205 2.0
206 888 1.0
206 2218 1.0
206 2208 2.0
206 1968 1.0
206 1668 2.0
206 387 1.0
206 206 2.0
209 209 1.0
211 2414 1.0
211 633 1.0
211 3102 1.0
211 3101 1.0
211 2604 2.0
211 211 4.0
211 35 1.0
213 2122 1.0
213 710 1.0
213 3562 2.0
213 3561 2.0
213 540 1.0
213 213 4.0
214 2608 1.0
214 2081 1.0
214 214 4.0
215 2996 1.0
215 215 1.0
216 216 1.0
217 418 1.0
217 217 1.0
217 195 1.0
218 218 1.0
220 150 1.0
220 220 2.0
221 2268 1.0
221 221 1.0
223 244 1.0
223 3293 1.0
223 237 1.0
223 223 2.0
223 23 1.0
228 228 1.0
229 229 1.0
232 233 1.0
232 232 1.0
233 233 1.0
233 232 1.0
236 236 2.0
237 2139 1.0
237 2731 1.0
237 976 1.0
237 3293 2.0
237 237 4.0
237 223 1.0
237 23 1.0
238 3404 1.0
238 238 1.0
240 919 1.0
240 240 1.0
244 3127 1.0
244 244 2.0
244 223 1.0
246 3115 1.0
246 1100 1.0
246 3468 1.0
246 1952 1.0
246 246 2.0
248 248 1.0
259 1960 1.0
259 2178 1.0
259 259 2.0
260 3014 1.0
260 260 1.0
261 3379 1.0
261 3301 1.0
261 3174 1.0
261 976 1.0
261 3311 1.0
261 3310 2.0
261 1595 2.0
261 261 5.0
263 1984 1.0
263 710 1.0
263 284 1.0
263 936 1.0
263 263 3.0
264 3283 1.0
264 3282 1.0
264 2978 1.0
264 2761 1.0
264 264 1.0
266 3403 2.0
266 266 2.0
275 275 1.0
279 279 1.0
283 3412 1.0
283 283 2.0
284 263 1.0
284 710 2.0
284 3280 1.0
284 1835 1.0
284 284 6.0
293 3476 1.0
293 3316 2.0
293 293 3.0
295 295 1.0
302 302 1.0
303 2112 1.0
303 2111 1.0
303 303 1.0
307 3579 1.0
307 1998 1.0
307 307 1.0
321 3320 1.0
321 3252 1.0
321 2599 1.0
321 1244 1.0
321 321 1.0
329 3396 1.0
329 3395 1.0
329 1328 1.0
329 1171 1.0
329 2069 1.0
329 1933 1.0
329 1362 1.0
329 2764 1.0
329 2702 1.0
329 3230 1.0
329 3167 1.0
329 2941 1.0
329 3566 1.0
329 488 3.0
